iter	RMSE
0	14.54504286
1	14.09563072
2	13.65859555
3	13.22994551
4	12.84778381
5	12.49149897
6	12.16682896
7	11.86778008
8	11.53384763
9	11.2100612
10	10.89665149
11	10.63619208
12	10.36348991
13	10.10272288
14	9.853729511
15	9.60679922
16	9.382465888
17	9.156403043
18	8.957881169
19	8.778238097
20	8.611637234
21	8.451284099
22	8.297646524
23	8.135442234
24	7.997920761
25	7.865802823
26	7.734625694
27	7.616647423
28	7.495880335
29	7.391073537
30	7.300872928
31	7.204443952
32	7.109808057
33	7.021616169
34	6.929358414
35	6.847886971
36	6.769283728
37	6.700203794
38	6.627969096
39	6.55607561
40	6.493596082
41	6.444225567
42	6.385163517
43	6.335365852
44	6.280280606
45	6.231173748
46	6.179429176
47	6.137384895
48	6.087963332
49	6.046711441
50	6.016670767
51	5.978551497
52	5.943566886
53	5.905981848
54	5.868368944
55	5.843177911
56	5.814294538
57	5.786106584
58	5.757271331
59	5.733102217
60	5.710194846
61	5.686629594
62	5.661110326
63	5.636658508
64	5.614338392
65	5.595094823
66	5.572787021
67	5.554602189
68	5.539716573
69	5.525680854
70	5.504631904
71	5.483980102
72	5.465794415
73	5.450520593
74	5.435047092
75	5.421264725
76	5.407532746
77	5.396753307
78	5.387769872
79	5.374650562
80	5.363429503
81	5.353786964
82	5.341558473
83	5.330065126
84	5.317731665
85	5.307534266
86	5.298166631
87	5.287950409
88	5.278232157
89	5.26509483
90	5.257915712
91	5.245741112
92	5.238798715
93	5.231755767
94	5.224923235
95	5.218891737
96	5.213788971
97	5.210337975
98	5.198677314
99	5.193096053
100	5.181237277
101	5.175514162
102	5.164329627
103	5.159772136
104	5.156971642
105	5.149836101
106	5.145116433
107	5.139185209
108	5.131726248
109	5.121713401
110	5.118810208
111	5.10908353
112	5.104811579
113	5.099862984
114	5.09445536
115	5.089191027
116	5.083293521
117	5.080494006
118	5.075883674
119	5.069467537
120	5.065288485
121	5.059036799
122	5.053200615
123	5.044692882
124	5.042487482
125	5.035228744
126	5.029563172
127	5.022020588
128	5.013937244
129	5.009711759
130	5.007743289
131	5.003693544
132	5.000726637
133	4.996689708
134	4.989603984
135	4.986384031
136	4.976796964
137	4.969217115
138	4.964144355
139	4.956547383
140	4.952218437
141	4.948367145
142	4.94216637
143	4.936508501
144	4.931383347
145	4.927638824
146	4.925313387
147	4.923045847
148	4.917796815
149	4.91423566
150	4.90859795
151	4.903745515
152	4.897121106
153	4.893695018
154	4.889259411
155	4.886585761
156	4.882188348
157	4.8781897
158	4.876718578
159	4.868804565
160	4.863515402
161	4.859593001
162	4.858394622
163	4.854668479
164	4.851298873
165	4.847257986
166	4.844451031
167	4.841516988
168	4.837882867
169	4.836267022
170	4.829960655
171	4.824828972
172	4.824642787
173	4.822166405
174	4.817307647
175	4.812721218
176	4.809696458
177	4.805063786
178	4.800097806
179	4.79628492
180	4.790908688
181	4.784875434
182	4.784701491
183	4.783849638
184	4.781057695
185	4.776538201
186	4.773449532
187	4.773024682
188	4.772569139
189	4.772129275
190	4.769356737
191	4.763119041
192	4.760322676
193	4.759899666
194	4.755980373
195	4.751595343
196	4.748765805
197	4.744942303
198	4.739260683
199	4.736638501
