iter	Passed	Remaining
0	0	129
1	1	118
2	1	111
3	2	108
4	2	105
5	3	105
6	3	107
7	4	106
8	4	105
9	5	103
10	5	102
11	6	101
12	6	100
13	7	99
14	8	98
15	8	98
16	9	98
17	9	98
18	10	99
19	11	99
20	11	100
21	12	100
22	13	100
23	13	100
24	14	99
25	14	99
26	15	99
27	16	99
28	16	99
29	17	98
30	18	98
31	18	98
32	19	97
33	19	97
34	20	96
35	21	95
36	21	95
37	22	95
38	22	94
39	23	94
40	24	93
41	24	93
42	25	92
43	26	92
44	26	92
45	27	91
46	27	90
47	28	90
48	29	90
49	29	89
50	30	89
51	31	88
52	31	88
53	32	87
54	33	87
55	33	86
56	34	86
57	35	85
58	35	85
59	36	84
60	36	84
61	37	83
62	38	82
63	38	82
64	39	81
65	40	81
66	40	80
67	41	80
68	41	79
69	42	78
70	43	78
71	43	77
72	44	76
73	44	76
74	45	75
75	46	75
76	46	75
77	47	74
78	48	74
79	49	73
80	49	73
81	50	72
82	50	71
83	51	71
84	52	70
85	52	70
86	53	69
87	54	69
88	54	68
89	55	67
90	55	67
91	56	66
92	57	65
93	57	65
94	58	64
95	58	63
96	59	63
97	59	62
98	60	61
99	61	61
100	61	60
101	62	59
102	62	59
103	63	58
104	63	57
105	64	57
106	65	56
107	65	55
108	66	55
109	66	54
110	67	54
111	68	53
112	68	52
113	69	52
114	69	51
115	70	51
116	71	50
117	71	49
118	72	49
119	72	48
120	73	47
121	74	47
122	74	46
123	75	46
124	75	45
125	76	44
126	77	44
127	77	43
128	78	43
129	79	42
130	79	41
131	80	41
132	80	40
133	81	40
134	82	39
135	82	38
136	83	38
137	84	37
138	84	37
139	85	36
140	86	35
141	86	35
142	87	34
143	87	34
144	88	33
145	88	32
146	89	32
147	90	31
148	90	31
149	91	30
150	92	29
151	92	29
152	93	28
153	94	28
154	94	27
155	95	26
156	95	26
157	96	25
158	97	25
159	97	24
160	98	23
161	99	23
162	99	22
163	100	22
164	101	21
165	101	20
166	102	20
167	102	19
168	103	19
169	104	18
170	105	17
171	105	17
172	105	16
173	106	15
174	107	15
175	107	14
176	108	14
177	108	13
178	109	12
179	110	12
180	110	11
181	111	11
182	111	10
183	112	9
184	112	9
185	113	8
186	114	7
187	114	7
188	115	6
189	116	6
190	116	5
191	117	4
192	118	4
193	118	3
194	119	3
195	119	2
196	120	1
197	121	1
198	122	0
199	123	0
