iter	Passed	Remaining
0	0	677
1	1	620
2	1	593
3	2	572
4	2	565
5	3	557
6	3	551
7	4	553
8	4	550
9	5	550
10	6	546
11	6	543
12	7	541
13	7	539
14	8	538
15	8	536
16	9	535
17	9	534
18	10	532
19	10	537
20	11	537
21	12	537
22	12	538
23	13	537
24	13	535
25	14	534
26	14	532
27	15	531
28	15	529
29	16	528
30	16	527
31	17	528
32	17	527
33	18	526
34	19	524
35	19	523
36	20	523
37	20	522
38	21	521
39	21	520
40	22	519
41	22	518
42	23	517
43	23	516
44	24	515
45	24	515
46	25	514
47	25	513
48	26	516
49	27	515
50	27	514
51	28	513
52	28	512
53	29	512
54	29	511
55	30	511
56	30	510
57	31	509
58	31	509
59	32	508
60	32	507
61	33	506
62	34	505
63	34	505
64	35	504
65	35	504
66	36	504
67	36	503
68	37	503
69	37	502
70	38	502
71	38	501
72	39	501
73	39	500
74	40	499
75	41	499
76	41	498
77	42	497
78	42	497
79	43	496
80	43	495
81	44	494
82	44	491
83	45	491
84	45	490
85	46	489
86	46	489
87	47	488
88	47	487
89	48	487
90	48	486
91	49	486
92	49	485
93	50	485
94	50	484
95	51	483
96	51	483
97	52	482
98	52	481
99	53	480
100	53	480
101	54	480
102	55	480
103	55	479
104	56	479
105	56	478
106	57	478
107	57	478
108	58	478
109	59	477
110	59	476
111	60	476
112	60	475
113	61	476
114	61	475
115	62	474
116	62	473
117	63	473
118	63	472
119	64	472
120	64	471
121	65	470
122	65	469
123	66	469
124	67	469
125	67	469
126	68	468
127	68	467
128	69	467
129	69	466
130	70	466
131	70	465
132	83	547
133	84	545
134	85	544
135	85	543
136	86	542
137	86	540
138	87	539
139	87	538
140	88	536
141	88	534
142	88	533
143	89	532
144	90	530
145	90	529
146	91	528
147	91	526
148	92	525
149	92	524
150	93	523
151	93	522
152	94	521
153	94	520
154	95	519
155	95	518
156	96	517
157	96	516
158	97	516
159	98	515
160	98	513
161	99	512
162	99	511
163	100	510
164	100	509
165	101	508
166	101	507
167	102	506
168	102	505
169	103	504
170	103	504
171	104	503
172	105	502
173	105	501
174	106	500
175	106	500
176	107	499
177	107	498
178	108	498
179	109	497
180	109	496
181	110	495
182	110	494
183	111	493
184	111	493
185	112	492
186	113	491
187	113	490
188	114	490
189	114	489
190	115	488
191	115	487
192	116	487
193	117	486
194	117	485
195	118	484
196	118	484
197	119	483
198	119	482
199	120	481
200	121	481
201	121	480
202	122	479
203	122	478
204	123	478
205	123	477
206	124	476
207	124	475
208	125	475
209	126	474
210	126	474
211	127	473
212	128	472
213	128	472
214	129	471
215	129	470
216	130	469
217	130	469
218	131	468
219	131	467
220	132	466
221	132	465
222	133	465
223	134	464
224	134	463
225	135	463
226	135	462
227	136	461
228	136	460
229	137	460
230	138	459
231	138	458
232	139	457
233	139	457
234	140	456
235	141	457
236	141	456
237	142	455
238	142	455
239	143	454
240	144	453
241	144	453
242	145	452
243	145	451
244	146	451
245	147	450
246	147	449
247	148	449
248	148	448
249	149	447
250	149	447
251	150	446
252	150	445
253	151	445
254	152	444
255	152	443
256	153	442
257	153	442
258	154	441
259	154	440
260	155	440
261	156	439
262	156	439
263	157	438
264	157	437
265	158	437
266	159	436
267	159	436
268	160	435
269	160	434
270	161	433
271	161	433
272	162	432
273	163	431
274	163	431
275	164	430
276	164	429
277	165	429
278	165	428
279	166	427
280	166	427
281	167	426
282	168	425
283	168	425
284	169	424
285	169	424
286	170	423
287	171	422
288	171	422
289	172	421
290	172	420
291	173	420
292	173	419
293	174	418
294	175	418
295	175	417
296	176	416
297	176	416
298	177	415
299	177	414
300	178	414
301	178	413
302	179	412
303	179	412
304	180	411
305	181	410
306	181	410
307	182	409
308	182	409
309	183	408
310	184	407
311	184	407
312	185	406
313	185	405
314	186	405
315	186	404
316	187	403
317	187	403
318	188	402
319	189	401
320	189	401
321	190	400
322	190	399
323	191	399
